Date,Open,High,Low,Close,Adj Close,Volume
2022-09-08,172.779999,173.429993,170.559998,172.669998,168.082901,3888100
2022-09-09,172.649994,174.550003,171.669998,173.220001,168.618271,3662000
2022-09-12,173.220001,174.440002,172.750000,173.899994,169.280197,5953300
2022-09-13,172.500000,172.830002,166.949997,167.410004,162.962631,6926200
2022-09-14,168.119995,169.190002,167.570007,168.679993,164.198898,5156900
2022-09-15,168.529999,168.559998,165.339996,165.880005,161.473282,5461000
2022-09-16,166.360001,167.169998,165.250000,166.970001,162.534317,12012600
2022-09-19,167.059998,168.809998,166.500000,168.729996,164.247559,3720900
2022-09-20,167.580002,169.149994,166.860001,168.919998,164.432510,3872000
2022-09-21,169.880005,172.029999,168.339996,168.440002,163.965271,5134500
2022-09-22,168.399994,169.889999,168.050003,168.600006,164.121017,4290600
2022-09-23,168.389999,168.750000,166.529999,168.520004,164.043152,4565100
2022-09-26,168.330002,170.009995,167.529999,168.449997,163.974991,5326400
2022-09-27,168.240005,170.000000,165.240005,166.009995,161.599808,5400700
2022-09-28,166.910004,169.619995,165.240005,168.669998,164.189163,5480900
2022-09-29,168.800003,169.139999,165.000000,166.610001,162.183884,5167700
2022-09-30,167.690002,168.240005,163.009995,163.259995,158.922852,5971900
2022-10-03,163.520004,165.690002,163.020004,165.250000,160.860016,5093400
2022-10-04,167.389999,168.729996,165.550003,167.110001,162.670609,4596800
2022-10-05,166.970001,167.089996,163.729996,166.000000,161.590088,3538600
2022-10-06,165.789993,166.020004,162.500000,162.800003,158.475098,4623400
2022-10-07,162.300003,163.009995,160.979996,161.610001,157.316696,4779200
2022-10-10,161.990005,163.039993,161.190002,161.820007,157.521133,4839200
2022-10-11,162.240005,164.270004,161.559998,162.589996,158.270676,5222600
2022-10-12,168.729996,170.699997,166.600006,169.389999,164.890030,9795300
2022-10-13,167.100006,175.039993,166.820007,174.610001,169.971375,8412700
2022-10-14,175.979996,176.259995,169.990005,170.190002,165.668793,5937900
2022-10-17,172.270004,173.589996,171.070007,172.729996,168.141312,6401800
2022-10-18,174.820007,176.910004,173.410004,175.059998,170.409424,4547400
2022-10-19,174.820007,175.839996,172.330002,173.360001,168.754562,5200200
2022-10-20,174.199997,174.360001,171.110001,171.460007,166.905029,4314000
2022-10-21,171.199997,173.690002,170.580002,173.059998,168.462555,5071500
2022-10-24,174.809998,177.979996,174.669998,177.679993,172.959778,5316500
2022-10-25,178.119995,178.869995,176.610001,178.270004,173.534134,5220000
2022-10-26,179.259995,180.899994,178.320007,179.070007,174.312897,5136000
2022-10-27,180.369995,180.929993,178.570007,178.880005,174.127914,5424100
2022-10-28,179.699997,182.929993,179.479996,182.229996,177.388931,6715300
2022-10-31,181.179993,182.979996,180.539993,181.580002,176.756195,4877200
2022-11-01,180.940002,182.809998,179.889999,180.759995,175.957947,4084500
2022-11-02,180.779999,183.580002,178.169998,178.240005,173.504913,4970600
2022-11-03,176.779999,178.899994,176.529999,177.779999,173.057129,3753800
2022-11-04,177.919998,179.789993,176.529999,178.779999,174.030579,3922400
2022-11-07,179.520004,180.619995,178.830002,180.210007,175.422592,3246100
2022-11-08,180.440002,182.110001,178.800003,180.710007,175.909302,3724700
2022-11-09,179.949997,181.070007,178.399994,178.550003,173.806686,4723600
2022-11-10,182.649994,182.919998,178.559998,181.699997,176.873001,6704100
2022-11-11,181.130005,181.690002,175.440002,178.050003,173.319962,7390500
2022-11-14,178.669998,179.179993,176.500000,176.729996,172.035019,5633000
2022-11-15,178.039993,178.699997,175.419998,177.190002,172.482834,5153600
2022-11-16,178.300003,179.630005,177.720001,178.330002,173.592529,4701100
2022-11-17,177.490005,180.160004,177.429993,180.029999,175.247360,3920300
2022-11-18,180.210007,181.839996,180.020004,181.330002,176.512848,4498100
2022-11-21,182.270004,185.130005,182.089996,184.820007,179.910126,4397600
2022-11-22,185.809998,186.619995,184.369995,184.839996,179.929596,4109600
